Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"navigateToUrl(""http://localhost:7001/my-blog/"")",Chrome 113.0.0.0,,,2023-06-08 15:47:33,2023-06-08 15:47:33,0.305s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Page/input_Email_loginUserName""), ""test@gmail.com"")",Chrome 113.0.0.0,,,2023-06-08 15:47:33,2023-06-08 15:47:34,0.801s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page/button_Login""))",Chrome 113.0.0.0,,,2023-06-08 15:47:34,2023-06-08 15:47:34,0.396s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Login Page/h1_Log In""), 0)",Chrome 113.0.0.0,,,2023-06-08 15:47:34,2023-06-08 15:47:34,0.367s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-06-08 15:47:34,2023-06-08 15:47:36,1.155s,PASSED
,,,,,,,
Test Cases/forgotPasswordWithInvalidDataTest,Chrome 113.0.0.0,,,2023-06-08 15:47:36,2023-06-08 15:47:42,6.527s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-06-08 15:47:36,2023-06-08 15:47:37,1.174s,PASSED
"navigateToUrl(""http://localhost:7001/my-blog/"")",Chrome 113.0.0.0,,,2023-06-08 15:47:37,2023-06-08 15:47:38,0.570s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page/a_Forgot password""))",Chrome 113.0.0.0,,,2023-06-08 15:47:38,2023-06-08 15:47:39,1.589s,PASSED
"setText(findTestObject(""Object Repository/Page_Forgot Password Page/input_Email_email""), ""wrong@gmail.com"")",Chrome 113.0.0.0,,,2023-06-08 15:47:39,2023-06-08 15:47:40,0.696s,PASSED
"click(findTestObject(""Object Repository/Page_Forgot Password Page/button_Reset Password""))",Chrome 113.0.0.0,,,2023-06-08 15:47:40,2023-06-08 15:47:40,0.437s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Forgot Password Page/label_Wrong Email""), 0)",Chrome 113.0.0.0,,,2023-06-08 15:47:40,2023-06-08 15:47:41,0.345s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-06-08 15:47:41,2023-06-08 15:47:42,1.291s,PASSED
,,,,,,,
Test Cases/forgotPasswordWithValidDataTest,Chrome 113.0.0.0,,,2023-06-08 15:47:42,2023-06-08 15:47:49,6.659s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-06-08 15:47:43,2023-06-08 15:47:44,1.187s,PASSED
"navigateToUrl(""http://localhost:7001/my-blog/"")",Chrome 113.0.0.0,,,2023-06-08 15:47:44,2023-06-08 15:47:44,0.284s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page/a_Forgot password""))",Chrome 113.0.0.0,,,2023-06-08 15:47:44,2023-06-08 15:47:46,1.649s,PASSED
"setText(findTestObject(""Object Repository/Page_Forgot Password Page/input_Email_email""), ""test@gmail.com"")",Chrome 113.0.0.0,,,2023-06-08 15:47:46,2023-06-08 15:47:46,0.717s,PASSED
"click(findTestObject(""Object Repository/Page_Forgot Password Page/button_Reset Password""))",Chrome 113.0.0.0,,,2023-06-08 15:47:46,2023-06-08 15:47:47,0.462s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Forgot Password Page/label_Check your mail box""), 0)",Chrome 113.0.0.0,,,2023-06-08 15:47:47,2023-06-08 15:47:47,0.362s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-06-08 15:47:47,2023-06-08 15:47:49,1.573s,PASSED
,,,,,,,
Test Cases/logoutProcessTest,Chrome 113.0.0.0,,,2023-06-08 15:47:49,2023-06-08 15:47:55,6.006s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-06-08 15:47:49,2023-06-08 15:47:50,1.169s,PASSED
"navigateToUrl(""http://localhost:7001/my-blog/"")",Chrome 113.0.0.0,,,2023-06-08 15:47:50,2023-06-08 15:47:51,0.279s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Page/input_Email_loginUserName""), ""test@gmail.com"")",Chrome 113.0.0.0,,,2023-06-08 15:47:51,2023-06-08 15:47:51,0.815s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login Page/input_Password_loginPassword""), ""teO7gFeCDasckeCIEoAHxg=="")",Chrome 113.0.0.0,,,2023-06-08 15:47:51,2023-06-08 15:47:52,0.459s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page/button_Login""))",Chrome 113.0.0.0,,,2023-06-08 15:47:52,2023-06-08 15:47:53,0.953s,PASSED
"verifyElementPresent(findTestObject(""Page_Home Page/a_Create New Post""), 0)",Chrome 113.0.0.0,,,2023-06-08 15:47:53,2023-06-08 15:47:53,0.347s,PASSED
"click(findTestObject(""Object Repository/Page_Home Page/a_Logout""))",Chrome 113.0.0.0,,,2023-06-08 15:47:53,2023-06-08 15:47:54,0.444s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-06-08 15:47:54,2023-06-08 15:47:55,1.124s,PASSED
,,,,,,,
Test Cases/registrationWithInvalidDataTest,Chrome 113.0.0.0,,,2023-06-08 15:47:55,2023-06-08 15:48:02,7.421s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-06-08 15:47:55,2023-06-08 15:47:56,1.141s,PASSED
"navigateToUrl(""http://localhost:7001/my-blog/"")",Chrome 113.0.0.0,,,2023-06-08 15:47:56,2023-06-08 15:47:57,0.295s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page/a_Registration""))",Chrome 113.0.0.0,,,2023-06-08 15:47:57,2023-06-08 15:47:57,0.552s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Registration page/h1_Registration""), 0)",Chrome 113.0.0.0,,,2023-06-08 15:47:57,2023-06-08 15:47:58,0.366s,PASSED
"setText(findTestObject(""Object Repository/Page_Registration page/input_FirstName_firstName""), ""FirstR"")",Chrome 113.0.0.0,,,2023-06-08 15:47:58,2023-06-08 15:47:58,0.673s,PASSED
"setText(findTestObject(""Object Repository/Page_Registration page/input_LastName_lastName""), ""LastR"")",Chrome 113.0.0.0,,,2023-06-08 15:47:58,2023-06-08 15:47:59,0.705s,PASSED
"setText(findTestObject(""Object Repository/Page_Registration page/input_Email_email""), ""reg@gmail.com"")",Chrome 113.0.0.0,,,2023-06-08 15:47:59,2023-06-08 15:48:00,0.709s,PASSED
"setText(findTestObject(""Object Repository/Page_Registration page/input_Birthday_birthday""), ""2002/05/28"")",Chrome 113.0.0.0,,,2023-06-08 15:48:00,2023-06-08 15:48:00,0.698s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Registration page/input_Password_password""), ""teO7gFeCDasckeCIEoAHxg=="")",Chrome 113.0.0.0,,,2023-06-08 15:48:00,2023-06-08 15:48:01,0.423s,PASSED
"click(findTestObject(""Object Repository/Page_Registration page/button_Register""))",Chrome 113.0.0.0,,,2023-06-08 15:48:01,2023-06-08 15:48:01,0.398s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Registration page/h1_Registration""), 0)",Chrome 113.0.0.0,,,2023-06-08 15:48:01,2023-06-08 15:48:02,0.370s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-06-08 15:48:02,2023-06-08 15:48:02,0.680s,PASSED
,,,,,,,
Test Cases/registrationWithValidDataTest,Chrome 113.0.0.0,,,2023-06-08 15:48:02,2023-06-08 15:48:13,10.473s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-06-08 15:48:03,2023-06-08 15:48:04,1.194s,PASSED
"navigateToUrl(""http://localhost:7001/my-blog/"")",Chrome 113.0.0.0,,,2023-06-08 15:48:04,2023-06-08 15:48:04,0.280s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page/a_Registration""))",Chrome 113.0.0.0,,,2023-06-08 15:48:04,2023-06-08 15:48:05,0.518s,PASSED
"setText(findTestObject(""Object Repository/Page_Registration page/input_FirstName_firstName""), ""FirstR"")",Chrome 113.0.0.0,,,2023-06-08 15:48:05,2023-06-08 15:48:05,0.711s,PASSED
"setText(findTestObject(""Object Repository/Page_Registration page/input_LastName_lastName""), ""LastR"")",Chrome 113.0.0.0,,,2023-06-08 15:48:05,2023-06-08 15:48:06,0.691s,PASSED
"setText(findTestObject(""Object Repository/Page_Registration page/input_Email_email""), ""reg@gmail.com"")",Chrome 113.0.0.0,,,2023-06-08 15:48:06,2023-06-08 15:48:07,0.687s,PASSED
"setText(findTestObject(""Object Repository/Page_Registration page/input_Birthday_birthday""), ""2002/05/28"")",Chrome 113.0.0.0,,,2023-06-08 15:48:07,2023-06-08 15:48:07,0.710s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Registration page/input_Password_password""), ""teO7gFeCDasckeCIEoAHxg=="")",Chrome 113.0.0.0,,,2023-06-08 15:48:07,2023-06-08 15:48:08,0.452s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Registration page/input_Confirm password_cPassword""), ""teO7gFeCDasckeCIEoAHxg=="")",Chrome 113.0.0.0,,,2023-06-08 15:48:08,2023-06-08 15:48:08,0.423s,PASSED
"click(findTestObject(""Object Repository/Page_Registration page/button_Register""))",Chrome 113.0.0.0,,,2023-06-08 15:48:08,2023-06-08 15:48:09,0.437s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Login Page/h1_Log In""), 0)",Chrome 113.0.0.0,,,2023-06-08 15:48:09,2023-06-08 15:48:09,0.348s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Page/input_Email_loginUserName""), ""reg@gmail.com"")",Chrome 113.0.0.0,,,2023-06-08 15:48:09,2023-06-08 15:48:10,0.683s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login Page/input_Password_loginPassword""), ""teO7gFeCDasckeCIEoAHxg=="")",Chrome 113.0.0.0,,,2023-06-08 15:48:10,2023-06-08 15:48:10,0.426s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page/button_Login""))",Chrome 113.0.0.0,,,2023-06-08 15:48:10,2023-06-08 15:48:11,0.953s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Home Page/a_Create New Post""), 0)",Chrome 113.0.0.0,,,2023-06-08 15:48:11,2023-06-08 15:48:12,0.353s,PASSED
"click(findTestObject(""Object Repository/Page_Home Page/a_Logout""))",Chrome 113.0.0.0,,,2023-06-08 15:48:12,2023-06-08 15:48:12,0.453s,PASSED
"navigateToUrl(""http://localhost:7001/my-blog/edit/clean-test-user"")",Chrome 113.0.0.0,,,2023-06-08 15:48:12,2023-06-08 15:48:12,0.073s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-06-08 15:48:12,2023-06-08 15:48:13,0.656s,PASSED
,,,,,,,
Test Cases/loginWithWrongEmailTest,Chrome 113.0.0.0,,,2023-06-08 15:48:13,2023-06-08 15:48:17,4.732s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-06-08 15:48:13,2023-06-08 15:48:14,1.175s,PASSED
"navigateToUrl(""http://localhost:7001/my-blog/"")",Chrome 113.0.0.0,,,2023-06-08 15:48:14,2023-06-08 15:48:15,0.539s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Page/input_Email_loginUserName""), ""wrong@gmail.com"")",Chrome 113.0.0.0,,,2023-06-08 15:48:15,2023-06-08 15:48:16,0.679s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login Page/input_Password_loginPassword""), ""teO7gFeCDasckeCIEoAHxg=="")",Chrome 113.0.0.0,,,2023-06-08 15:48:16,2023-06-08 15:48:16,0.434s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page/button_Login""))",Chrome 113.0.0.0,,,2023-06-08 15:48:16,2023-06-08 15:48:16,0.471s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Login Page/label_You entered wrong login""), 0)",Chrome 113.0.0.0,,,2023-06-08 15:48:16,2023-06-08 15:48:17,0.356s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-06-08 15:48:17,2023-06-08 15:48:17,0.660s,PASSED
,,,,,,,
Test Cases/loginWithWrongPasswordTest,Chrome 113.0.0.0,,,2023-06-08 15:48:17,2023-06-08 15:48:22,4.561s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-06-08 15:48:18,2023-06-08 15:48:19,1.153s,PASSED
"navigateToUrl(""http://localhost:7001/my-blog/"")",Chrome 113.0.0.0,,,2023-06-08 15:48:19,2023-06-08 15:48:19,0.285s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Page/input_Email_loginUserName""), ""test@gmail.com"")",Chrome 113.0.0.0,,,2023-06-08 15:48:19,2023-06-08 15:48:20,0.806s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login Page/input_Password_loginPassword""), ""4nvbrPglk7k="")",Chrome 113.0.0.0,,,2023-06-08 15:48:20,2023-06-08 15:48:21,0.423s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page/button_Login""))",Chrome 113.0.0.0,,,2023-06-08 15:48:21,2023-06-08 15:48:21,0.457s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Login Page/label_You entered wrong password""), 0)",Chrome 113.0.0.0,,,2023-06-08 15:48:21,2023-06-08 15:48:21,0.346s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-06-08 15:48:21,2023-06-08 15:48:22,0.674s,PASSED
